, No Preference, Uncommitted,Ben Carson,Bernie Sanders,Carly Fiorina,Chris Christie,Donald Trump,Hillary Clinton,Jeb Bush,John Kasich,Marco Rubio,Martin O'Malley,Mike Huckabee,Rand Paul,Rick Santorum,Ted Cruz
Alabama,0,0,87517,76399,0,0,371735,309928,0,37970,159802,0,0,0,0,180608
Alaska,0,0,2401,440,0,0,7346,99,0,892,3318,0,0,0,0,7973
Arizona,0,0,0,163400,0,0,249916,235697,0,53040,0,0,0,0,0,132147
Arkansas,0,0,23173,64868,0,0,133144,144580,0,15098,101235,0,0,0,0,123873
California,0,0,0,1502043,0,0,1174829,1940580,0,176620,0,0,0,0,0,144125
Colorado,0,0,0,71928,0,0,0,49256,0,0,0,0,0,0,0,0
Connecticut,0,0,0,152410,0,0,123367,170075,0,60481,0,0,0,0,0,24969
Delaware,0,0,0,36659,0,0,42472,55950,0,14225,0,0,0,0,0,11110
Florida,0,0,0,566603,0,0,1077221,1097400,0,159412,636653,0,0,0,0,403640
Georgia,0,0,80503,214332,0,0,501707,543008,0,72303,315979,0,0,0,0,305109
Hawaii,0,0,0,23531,0,0,5677,10127,0,1413,1759,0,0,0,0,4379
Idaho,0,0,0,18640,0,0,62478,5065,0,16517,35347,0,0,0,0,100942
Illinois,0,0,0,975659,0,0,551464,1012175,0,279778,123066,0,0,0,0,430395
Indiana,0,0,0,335256,0,0,590460,303382,0,83913,0,0,0,0,0,406280
Iowa,0,43,17393,69452,3485,3284,45419,69733,5238,3472,43164,752,3345,8479,1782,51663
Kansas,0,0,0,26450,0,0,17062,12593,0,7795,12189,0,0,0,0,35207
Kentucky,0,0,0,210626,0,0,82493,212550,0,33134,37579,0,0,0,0,72503
Louisiana,0,0,0,72240,0,0,124818,221615,0,19355,33804,0,0,0,0,113949
Maine,0,0,0,2201,0,0,0,1214,0,0,0,0,0,0,0,0
Maryland,0,0,0,281275,0,0,236623,533247,0,100089,0,0,0,0,0,82038
Massachusetts,8152,0,16277,586716,0,0,311313,603784,0,113783,112822,0,0,0,0,60473
Michigan,0,0,0,595222,0,0,483751,576795,0,321655,123673,0,0,0,0,330015
Mississippi,0,0,0,36348,0,0,191755,182447,0,35817,20768,0,0,0,0,147065
Missouri,0,0,0,309071,0,0,382093,310602,0,92533,57006,0,0,0,0,380367
Montana,0,0,0,63168,0,0,114056,55194,0,10622,0,0,0,0,0,14476
Nebraska,0,0,0,19120,0,0,121287,14340,0,22526,0,0,0,0,0,36418
Nevada,0,0,3619,5641,0,0,34531,6296,0,2709,17940,0,0,0,0,16079
New Hampshire,0,0,6509,151584,11706,21069,100406,95252,31310,44909,30032,0,0,0,0,33189
New Jersey,0,0,0,323259,0,0,356697,554237,0,59506,0,0,0,0,0,27521
New Mexico,0,0,0,103856,0,0,73530,110451,0,7870,0,0,0,0,0,13825
New York,0,0,0,763469,0,0,524932,1054083,0,217904,0,0,0,0,0,126151
North Carolina,0,0,0,460316,0,0,458151,616383,0,144299,87858,0,0,0,0,418740
North Dakota,0,0,0,253,0,0,0,101,0,0,0,0,0,0,0,0
Ohio,0,0,0,513549,0,0,727585,679266,0,956762,59418,0,0,0,0,267592
Oklahoma,0,0,28572,174054,0,0,130141,139338,0,16515,119562,0,0,0,0,157941
Oregon,0,0,0,320746,0,0,240804,251739,0,59096,0,0,0,0,0,61590
Pennsylvania,0,0,0,719955,0,0,892702,918689,0,304793,0,0,0,0,0,340201
Rhode Island,0,0,0,66720,0,0,39059,52493,0,14929,0,0,0,0,0,6393
South Carolina,0,0,53326,95977,0,0,239851,271514,57863,56206,165881,0,0,0,0,164790
South Dakota,0,0,0,25958,0,0,44866,27046,0,10659,0,0,0,0,0,11352
Tennessee,0,0,64846,120333,0,0,332702,245304,0,45243,180989,0,0,0,0,211159
Texas,0,0,117780,475561,0,0,757618,935080,0,120257,502223,0,0,0,0,1239370
Utah,0,0,0,61333,0,0,24864,15666,0,29773,0,0,0,0,0,122567
Vermont,0,0,2544,115863,0,0,19968,18335,0,18543,11778,0,0,0,0,5929
Virginia,0,0,60093,275507,0,0,355960,503358,0,96519,327042,0,0,0,0,173193
Washington,0,0,0,19159,0,0,403003,7140,0,52129,0,0,0,0,0,55719
West Virginia,0,0,0,123860,0,0,156245,86354,0,13685,0,0,0,0,0,18208
Wisconsin,0,0,0,567936,0,0,386370,432767,0,155200,0,0,0,0,0,531129
Wyoming,0,0,0,156,0,0,70,124,0,0,189,0,0,0,0,644
Minnesota,0,0,8407,126229,0,0,24433,78381,0,6531,41184,0,0,0,0,33142
Total,8152,43,572960,12085331,15191,24353,13326974,15770833,94411,4166480,3362260,752,3345,8479,1782,7636148
